,solarRadiationHigh,humidityAvg,tempAvg,windspeedAvg,precipRate,precipTotal
2024-11-27 05:13:59,0.0,95,8,0,0.0,0.0
2024-11-27 05:19:25,0.0,94,8,0,0.0,0.0
2024-11-27 05:24:54,0.0,94,8,0,0.0,0.0
2024-11-27 05:29:14,0.0,94,8,0,0.0,0.0
2024-11-27 05:34:44,0.0,94,8,0,0.0,0.0
2024-11-27 05:39:04,0.0,93,8,0,0.0,0.0
2024-11-27 05:44:33,0.0,93,8,0,0.0,0.0
2024-11-27 05:49:59,0.0,93,8,0,0.0,0.0
2024-11-27 05:54:20,0.0,93,8,0,0.0,0.0
2024-11-27 05:59:49,0.0,93,8,0,0.0,0.0
2024-11-27 06:04:09,0.0,93,8,0,0.0,0.0
2024-11-27 06:09:39,0.0,94,8,0,0.0,0.0
2024-11-27 06:13:59,0.0,94,8,0,0.0,0.0
2024-11-27 06:19:25,0.0,94,8,0,0.0,0.0
2024-11-27 06:24:54,0.0,93,8,0,0.0,0.0
2024-11-27 06:29:14,0.0,93,8,0,0.0,0.0
2024-11-27 06:34:44,0.0,93,8,0,0.0,0.0
2024-11-27 06:39:04,0.0,93,8,0,0.0,0.0
2024-11-27 06:44:33,0.0,93,8,0,0.0,0.0
2024-11-27 06:49:59,0.0,93,8,0,0.0,0.0
2024-11-27 06:54:20,0.0,93,8,0,0.0,0.0
2024-11-27 06:59:49,0.0,93,8,0,0.0,0.0
2024-11-27 07:04:09,0.0,93,8,0,0.0,0.0
2024-11-27 07:09:39,0.0,93,8,0,0.0,0.0
2024-11-27 07:13:59,0.0,93,8,0,0.0,0.0
2024-11-27 07:19:25,0.0,93,8,0,0.0,0.0
2024-11-27 07:24:54,0.1,94,8,0,0.0,0.0
2024-11-27 07:29:14,0.2,94,8,0,0.0,0.0
2024-11-27 07:34:44,0.6,94,8,0,0.0,0.0
2024-11-27 07:39:04,1.0,94,8,0,0.0,0.0
2024-11-27 07:44:33,1.5,94,8,0,0.0,0.0
2024-11-27 07:49:59,2.2,94,8,0,0.0,0.0
2024-11-27 07:54:20,3.0,94,8,0,0.0,0.0
2024-11-27 07:59:49,4.0,94,8,0,0.0,0.0
2024-11-27 08:04:09,5.0,94,8,0,0.0,0.0
2024-11-27 08:09:39,6.5,93,8,0,0.0,0.0
2024-11-27 08:13:59,7.1,93,8,0,0.0,0.0
2024-11-27 08:19:25,7.9,94,8,0,0.0,0.0
2024-11-27 08:24:54,8.3,94,8,0,0.0,0.0
2024-11-27 08:29:14,8.8,94,8,0,0.0,0.0
2024-11-27 08:34:49,10.1,94,8,0,0.0,0.0
